macro,micro,config,best_clf,fold
0.8377192982456141,0.8378378378378378,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=0, oversample=False, random_state=42,
                   select_features=False, specific_classifier=None,
                   weight_function='None')","SVC(C=0.5, cache_size=25000, class_weight=None, coef0=0.0,
    decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
    max_iter=-1, probability=True, random_state=42, shrinking=True, tol=0.001,
    verbose=False)",0
0.8644688644688645,0.8648648648648649,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=0, oversample=False, random_state=42,
                   select_features=False, specific_classifier=None,
                   weight_function='None')","SVC(C=1.0, cache_size=25000, class_weight=None, coef0=0.0,
    decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
    max_iter=-1, probability=True, random_state=42, shrinking=True, tol=0.001,
    verbose=False)",1
0.9444444444444444,0.9444444444444444,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=0, oversample=False, random_state=42,
                   select_features=False, specific_classifier=None,
                   weight_function='None')","SVC(C=1.0, cache_size=25000, class_weight=None, coef0=0.0,
    decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
    max_iter=-1, probability=True, random_state=42, shrinking=True, tol=0.001,
    verbose=False)",2
0.8041958041958042,0.8055555555555556,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=0, oversample=False, random_state=42,
                   select_features=False, specific_classifier=None,
                   weight_function='None')","SVC(C=1.0, cache_size=25000, class_weight=None, coef0=0.0,
    decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
    max_iter=-1, probability=True, random_state=42, shrinking=True, tol=0.001,
    verbose=False)",3
0.8041958041958042,0.8055555555555556,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=0, oversample=False, random_state=42,
                   select_features=False, specific_classifier=None,
                   weight_function='None')","SVC(C=2.0, cache_size=25000, class_weight=None, coef0=0.0,
    decision_function_shape=None, degree=3, gamma=1, kernel='rbf', max_iter=-1,
    probability=True, random_state=42, shrinking=True, tol=0.001,
    verbose=False)",4
0.83125,0.8333333333333334,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=0, oversample=False, random_state=42,
                   select_features=False, specific_classifier=None,
                   weight_function='None')","SVC(C=1.0, cache_size=25000, class_weight=None, coef0=0.0,
    decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
    max_iter=-1, probability=True, random_state=42, shrinking=True, tol=0.001,
    verbose=False)",5
0.7222222222222222,0.7222222222222222,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=0, oversample=False, random_state=42,
                   select_features=False, specific_classifier=None,
                   weight_function='None')","SVC(C=8.0, cache_size=25000, class_weight=None, coef0=0.0,
    decision_function_shape=None, degree=3, gamma=0.1, kernel='rbf',
    max_iter=-1, probability=True, random_state=42, shrinking=True, tol=0.001,
    verbose=False)",6
0.7999999999999999,0.8000000000000002,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=10, oversample=False,
                   random_state=42, select_features=False,
                   specific_classifier=None, weight_function='None')","SVC(C=1.0, cache_size=25000, class_weight=None, coef0=0.0,
    decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
    max_iter=-1, probability=True, random_state=42, shrinking=True, tol=0.001,
    verbose=False)",7
0.8856209150326797,0.8857142857142857,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=0, oversample=False, random_state=42,
                   select_features=False, specific_classifier=None,
                   weight_function='None')","SVC(C=8.0, cache_size=25000, class_weight=None, coef0=0.0,
    decision_function_shape=None, degree=3, gamma=0.1, kernel='rbf',
    max_iter=-1, probability=True, random_state=42, shrinking=True, tol=0.001,
    verbose=False)",8
0.7993447993447994,0.8000000000000002,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=0, oversample=False, random_state=42,
                   select_features=False, specific_classifier=None,
                   weight_function='None')","SVC(C=1.0, cache_size=25000, class_weight=None, coef0=0.0,
    decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
    max_iter=-1, probability=True, random_state=42, shrinking=True, tol=0.001,
    verbose=False)",9
