macro,micro,config,best_clf,fold
0.7027027027027027,0.7027027027027027,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=0, oversample=False, random_state=42,
                   select_features=False, specific_classifier=None,
                   weight_function='None')","MultinomialNB(alpha=0.1, class_prior=None, fit_prior=True)",0
0.8377192982456141,0.8378378378378378,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=10, oversample=False,
                   random_state=42, select_features=False,
                   specific_classifier=None, weight_function='None')","LogisticRegression(C=10, class_weight='balanced', dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=None,
                   max_iter=300, multi_class='warn', n_jobs=1, penalty='l2',
                   random_state=42, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)",1
0.8328173374613004,0.8333333333333334,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=0, oversample=False, random_state=42,
                   select_features=False, specific_classifier=None,
                   weight_function='None')","MultinomialNB(alpha=0.1, class_prior=None, fit_prior=True)",2
0.8054054054054054,0.8055555555555556,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=10, oversample=False,
                   random_state=42, select_features=False,
                   specific_classifier=None, weight_function='None')","MultinomialNB(alpha=0.1, class_prior=None, fit_prior=True)",3
0.7498069498069497,0.75,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=0, oversample=False, random_state=42,
                   select_features=False, specific_classifier=None,
                   weight_function='None')","MultinomialNB(alpha=0.1, class_prior=None, fit_prior=True)",4
0.8583792289535799,0.8611111111111112,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=10, oversample=False,
                   random_state=42, select_features=False,
                   specific_classifier=None, weight_function='None')","LogisticRegression(C=10, class_weight='balanced', dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=None,
                   max_iter=300, multi_class='warn', n_jobs=1, penalty='l2',
                   random_state=42, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)",5
0.8601398601398602,0.8611111111111112,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=0, oversample=False, random_state=42,
                   select_features=False, specific_classifier=None,
                   weight_function='None')","ExtraTreesClassifier(bootstrap=False, class_weight='balanced', criterion='gini',
                     max_depth=None, max_features='log2', max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=200, n_jobs=8,
                     oob_score=False, random_state=42, verbose=0,
                     warm_start=False)",6
0.7712418300653594,0.7714285714285715,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=0, oversample=False, random_state=42,
                   select_features=False, specific_classifier=None,
                   weight_function='None')","MultinomialNB(alpha=0.1, class_prior=None, fit_prior=True)",7
0.914004914004914,0.9142857142857143,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=10, oversample=False,
                   random_state=42, select_features=False,
                   specific_classifier=None, weight_function='None')","MultinomialNB(alpha=1, class_prior=None, fit_prior=True)",8
0.7697368421052632,0.7714285714285715,"MetaLazyClassifier(grid_size=5000, metric='cosine', n_jobs=8, n_neighbors=200,
                   number_of_cooccurrences=0, oversample=False, random_state=42,
                   select_features=False, specific_classifier=None,
                   weight_function='None')","LogisticRegression(C=10, class_weight='balanced', dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=None,
                   max_iter=300, multi_class='warn', n_jobs=1, penalty='l2',
                   random_state=42, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)",9
